time_hrs,T_center_F_adiabatic,T_max_xs_F,T_ambient_F
0.0833,73.0040,73.1660,73.0040
0.1667,73.0040,73.3100,73.0040
0.2500,73.0040,73.4540,73.0040
0.3333,73.0040,73.5800,73.0040
0.4167,73.0040,73.7060,73.0040
0.5000,73.0040,73.8320,73.0040
0.5833,73.0040,73.9580,73.0040
0.6667,73.0040,74.0840,73.0040
0.7500,73.0040,74.2100,73.0040
0.8333,73.0040,74.3360,73.0040
0.9167,73.0040,74.4440,73.0040
1.0000,73.0040,74.5700,73.0040
1.0833,73.0040,74.6780,73.0040
1.1667,73.0040,74.7860,73.0040
1.2500,73.0040,74.8940,73.0040
1.3333,73.0040,75.0020,73.0040
1.4167,73.0040,75.0920,73.0040
1.5000,73.0040,75.2000,73.0040
1.5833,73.0040,75.2900,73.0040
1.6667,73.0040,75.3980,73.0040
1.7500,73.0040,75.4880,73.0040
1.8333,73.0040,75.5780,73.0040
1.9167,73.0040,75.6680,73.0040
2.0000,73.0040,75.7580,73.0040
2.0833,73.0040,75.8480,73.0040
2.1667,73.0040,75.9380,73.0040
2.2500,73.0040,76.0100,73.0040
2.3333,73.0040,76.1000,73.0040
2.4167,73.0040,76.1720,73.0040
2.5000,73.0040,76.2620,73.0040
2.5833,73.0040,76.3340,73.0040
2.6667,73.0040,76.4240,73.0040
2.7500,73.0040,76.4960,73.0040
2.8333,73.0040,76.5680,73.0040
2.9167,73.0040,76.6400,73.0040
3.0000,73.0040,76.7120,73.0040
3.0833,73.0040,76.7840,73.0040
3.1667,73.0040,76.8560,73.0040
3.2500,73.0040,76.9280,73.0040
3.3333,73.0040,77.0000,73.0040
3.4167,73.0040,77.0540,73.0040
3.5000,73.0040,77.1260,73.0040
3.5833,73.0040,77.1980,73.0040
3.6667,73.0040,77.2520,73.0040
3.7500,73.0040,77.3240,73.0040
3.8333,73.0040,77.3780,73.0040
3.9167,73.0040,77.4500,73.0040
4.0000,73.0040,77.5040,73.0040
4.0833,73.0040,77.5760,73.0040
4.1667,73.0040,77.6300,73.0040
4.2500,73.0040,77.6840,73.0040
4.3333,73.0220,77.7560,73.0040
4.4167,73.0220,77.8100,73.0040
4.5000,73.0220,77.8640,73.0040
4.5833,73.0220,77.9180,73.0040
4.6667,73.0220,77.9900,73.0040
4.7500,73.0400,78.0440,73.0040
4.8333,73.0400,78.0980,73.0040
4.9167,73.0400,78.1700,73.0040
5.0000,73.0580,78.2240,73.0040
5.0833,73.0580,78.2780,73.0040
5.1667,73.0760,78.3500,73.0040
5.2500,73.0760,78.4040,73.0040
5.3333,73.0940,78.4580,73.0040
5.4167,73.1120,78.5300,73.0040
5.5000,73.1120,78.5840,73.0040
5.5833,73.1300,78.6560,73.0040
5.6667,73.1480,78.7280,73.0040
5.7500,73.1660,78.7820,73.0040
5.8333,73.1840,78.8540,73.0040
5.9167,73.2020,78.9260,73.0040
6.0000,73.2380,78.9980,73.0040
6.0833,73.2560,79.0520,73.0040
6.1667,73.2740,79.1240,73.0040
6.2500,73.3100,79.2140,73.0040
6.3333,73.3460,79.2860,73.0040
6.4167,73.3640,79.3580,73.0040
6.5000,73.4000,79.4300,73.0040
6.5833,73.4360,79.5200,73.0040
6.6667,73.4720,79.5920,73.0040
6.7500,73.5080,79.6820,73.0040
6.8333,73.5440,79.7720,73.0040
6.9167,73.5980,79.8620,73.0040
7.0000,73.6340,79.9520,73.0040
7.0833,73.6880,80.0420,73.0040
7.1667,73.7420,80.1320,73.0040
7.2500,73.7780,80.2220,73.0040
7.3333,73.8320,80.3120,73.0040
7.4167,73.8860,80.4200,73.0040
